,GRE Score,TOEFL Score,Chance of Admit
0,337.0,118.0,0.92
1,324.0,107.0,0.76
2,316.55876288659795,104.0,0.72
3,322.0,110.0,0.8
4,314.0,103.0,0.65
5,330.0,115.0,0.9
6,321.0,109.0,0.75
7,308.0,101.0,0.68
8,302.0,102.0,0.5
9,323.0,108.0,0.45
10,325.0,106.0,0.52
11,327.0,111.0,0.84
12,316.55876288659795,112.0,0.78
13,307.0,109.0,0.62
14,311.0,104.0,0.61
15,314.0,105.0,0.54
16,317.0,107.0,0.66
17,319.0,106.0,0.65
18,318.0,110.0,0.63
19,303.0,102.0,0.62
20,312.0,107.0,0.64
21,325.0,114.0,0.7
22,328.0,116.0,0.94
23,316.55876288659795,119.0,0.95
24,336.0,119.0,0.97
25,340.0,120.0,0.94
26,322.0,109.0,0.76
27,298.0,98.0,0.44
28,295.0,93.0,0.46
29,310.0,99.0,0.54
30,300.0,97.0,0.65
31,327.0,103.0,0.74
32,338.0,118.0,0.91
33,340.0,114.0,0.9
34,331.0,112.0,0.94
35,320.0,110.0,0.88
36,316.55876288659795,106.0,0.64
37,300.0,105.0,0.58
38,304.0,105.0,0.52
39,307.0,108.0,0.48
40,308.0,110.0,0.46
41,316.0,105.0,0.49
42,313.0,107.0,0.53
43,332.0,117.0,0.87
44,326.0,113.0,0.91
45,322.0,110.0,0.88
46,329.0,114.0,0.86
47,339.0,119.0,0.89
48,321.0,110.0,0.82
49,327.0,111.0,0.78
50,313.0,98.0,0.76
51,316.55876288659795,100.0,0.56
52,334.0,116.0,0.78
53,324.0,112.0,0.72
54,322.0,110.0,0.7
55,320.0,103.0,0.64
56,316.0,102.0,0.64
57,298.0,107.18775510204081,0.46
58,300.0,99.0,0.36
59,311.0,104.0,0.42
60,309.0,100.0,0.48
61,307.0,101.0,0.47
62,304.0,105.0,0.54
63,315.0,107.0,0.56
64,325.0,111.0,0.52
65,325.0,112.0,0.55
66,327.0,114.0,0.61
67,316.0,107.0,0.57
68,318.0,109.0,0.68
69,328.0,115.0,0.78
70,316.55876288659795,118.0,0.94
71,336.0,112.0,0.96
72,321.0,111.0,0.93
73,314.0,108.0,0.84
74,314.0,106.0,0.74
75,329.0,114.0,0.72
76,327.0,112.0,0.74
77,301.0,99.0,0.64
78,296.0,95.0,0.44
79,294.0,93.0,0.46
80,312.0,105.0,0.5
81,340.0,120.0,0.96
82,320.0,110.0,0.92
83,322.0,115.0,0.92
84,340.0,115.0,0.94
85,319.0,103.0,0.76
86,315.0,106.0,0.72
87,317.0,107.0,0.66
88,314.0,108.0,0.64
89,316.0,109.0,0.74
90,318.0,106.0,0.64
91,299.0,97.0,0.38
92,298.0,98.0,0.34
93,301.0,97.0,0.44
94,303.0,99.0,0.36
95,304.0,100.0,0.42
96,306.0,100.0,0.48
97,331.0,120.0,0.86
98,332.0,119.0,0.9
99,323.0,107.18775510204081,0.79
100,322.0,107.0,0.71
101,312.0,105.0,0.64
102,314.0,106.0,0.62
103,317.0,104.0,0.57
104,326.0,112.0,0.74
105,316.0,110.0,0.69
106,329.0,111.0,0.87
107,338.0,117.0,0.91
108,331.0,116.0,0.93
109,304.0,103.0,0.68
110,305.0,108.0,0.61
111,321.0,109.0,0.69
112,301.0,107.0,0.62
113,320.0,110.0,0.72
114,311.0,105.0,0.59
115,310.0,106.0,0.66
116,299.0,102.0,0.56
117,290.0,104.0,0.45
118,296.0,99.0,0.47
119,327.0,104.0,0.71
120,335.0,117.0,0.94
121,334.0,119.0,0.94
122,310.0,106.0,0.57
123,308.0,108.0,0.61
124,316.55876288659795,106.0,0.57
125,300.0,100.0,0.64
126,323.0,113.0,0.85
127,319.0,112.0,0.78
128,326.0,112.0,0.84
129,333.0,118.0,0.92
130,339.0,114.0,0.96
131,303.0,105.0,0.77
132,309.0,105.0,0.71
133,323.0,112.0,0.79
134,333.0,113.0,0.89
135,314.0,107.18775510204081,0.82
136,312.0,103.0,0.76
137,316.0,100.0,0.71
138,326.0,116.0,0.8
139,318.0,109.0,0.78
140,329.0,110.0,0.84
141,332.0,118.0,0.9
142,331.0,115.0,0.92
143,340.0,120.0,0.97
144,325.0,112.0,0.8
145,320.0,113.0,0.81
146,315.0,105.0,0.75
147,326.0,114.0,0.83
148,339.0,116.0,0.96
149,311.0,106.0,0.79
150,334.0,114.0,0.93
151,332.0,116.0,0.94
152,321.0,112.0,0.86
153,324.0,105.0,0.79
154,326.0,108.0,0.8
155,316.55876288659795,109.0,0.77
156,315.0,105.0,0.7
157,309.0,104.0,0.65
158,306.0,106.0,0.61
159,297.0,100.0,0.52
160,315.0,103.0,0.57
161,298.0,99.0,0.53
162,318.0,109.0,0.67
163,317.0,105.0,0.68
164,329.0,111.0,0.81
165,322.0,110.0,0.78
166,302.0,102.0,0.65
167,313.0,102.0,0.64
168,293.0,97.0,0.64
169,311.0,99.0,0.65
170,312.0,101.0,0.68
171,334.0,117.0,0.89
172,322.0,107.18775510204081,0.86
173,323.0,113.0,0.89
174,321.0,111.0,0.87
175,320.0,111.0,0.85
176,329.0,119.0,0.9
177,319.0,110.0,0.82
178,309.0,108.0,0.72
179,307.0,102.0,0.73
180,300.0,104.0,0.71
181,305.0,107.0,0.71
182,316.55876288659795,100.0,0.68
183,314.0,110.0,0.75
184,316.0,106.0,0.72
185,327.0,113.0,0.89
186,317.0,107.0,0.84
187,335.0,118.0,0.93
188,331.0,115.0,0.93
189,324.0,112.0,0.88
190,324.0,111.0,0.9
191,323.0,110.0,0.87
192,322.0,114.0,0.86
193,336.0,118.0,0.94
194,316.0,109.0,0.77
195,307.0,107.0,0.78
196,306.0,105.0,0.73
197,310.0,106.0,0.73
198,311.0,104.0,0.7
199,313.0,107.0,0.72
200,317.0,103.0,0.73
201,315.0,110.0,0.72
202,340.0,120.0,0.97
203,334.0,120.0,0.97
204,298.0,105.0,0.69
205,295.0,99.0,0.57
206,315.0,99.0,0.63
207,310.0,102.0,0.66
208,305.0,106.0,0.64
209,301.0,104.0,0.68
210,325.0,108.0,0.79
211,328.0,110.0,0.82
212,338.0,120.0,0.95
213,333.0,119.0,0.96
214,331.0,117.0,0.94
215,330.0,116.0,0.93
216,322.0,107.18775510204081,0.91
217,321.0,109.0,0.85
218,316.55876288659795,110.0,0.84
219,312.0,104.0,0.74
220,313.0,103.0,0.76
221,316.0,110.0,0.75
222,324.0,113.0,0.76
223,308.0,109.0,0.71
224,305.0,105.0,0.67
225,296.0,99.0,0.61
226,306.0,110.0,0.63
227,312.0,110.0,0.64
228,318.0,112.0,0.71
229,324.0,111.0,0.82
230,313.0,104.0,0.73
231,319.0,106.0,0.74
232,312.0,107.0,0.69
233,304.0,100.0,0.64
234,330.0,113.0,0.91
235,326.0,111.0,0.88
236,325.0,112.0,0.85
237,329.0,114.0,0.86
238,310.0,104.0,0.7
239,299.0,100.0,0.59
240,296.0,101.0,0.6
241,317.0,103.0,0.65
242,324.0,115.0,0.7
243,325.0,114.0,0.76
244,314.0,107.0,0.63
245,328.0,110.0,0.81
246,316.0,105.0,0.72
247,311.0,104.0,0.71
248,324.0,110.0,0.8
249,321.0,111.0,0.77
250,320.0,104.0,0.74
251,316.0,99.0,0.7
252,318.0,100.0,0.71
253,335.0,115.0,0.93
254,321.0,114.0,0.85
255,307.0,110.0,0.79
256,309.0,99.0,0.76
257,324.0,100.0,0.78
258,326.0,102.0,0.77
259,331.0,119.0,0.9
260,327.0,108.0,0.87
261,312.0,104.0,0.71
262,308.0,103.0,0.7
263,324.0,111.0,0.7
264,325.0,110.0,0.75
265,313.0,102.0,0.71
266,312.0,105.0,0.72
267,314.0,107.0,0.73
268,327.0,113.0,0.83
269,308.0,107.18775510204081,0.77
270,306.0,105.0,0.72
271,299.0,96.0,0.54
272,294.0,95.0,0.49
273,312.0,99.0,0.52
274,315.0,100.0,0.58
275,322.0,110.0,0.78
276,329.0,113.0,0.89
277,320.0,101.0,0.7
278,308.0,103.0,0.66
279,316.55876288659795,102.0,0.67
280,311.0,102.0,0.68
281,317.0,110.0,0.8
282,312.0,106.0,0.81
283,321.0,111.0,0.8
284,340.0,112.0,0.94
285,331.0,116.0,0.93
286,336.0,118.0,0.92
287,324.0,114.0,0.89
288,314.0,104.0,0.82
289,313.0,109.0,0.79
290,307.0,105.0,0.58
291,300.0,102.0,0.56
292,302.0,99.0,0.56
293,312.0,98.0,0.64
294,316.0,101.0,0.61
295,317.0,100.0,0.68
296,310.0,107.0,0.76
297,320.0,120.0,0.86
298,330.0,114.0,0.9
299,305.0,112.0,0.71
300,309.0,106.0,0.62
301,319.0,108.0,0.66
302,322.0,105.0,0.65
303,323.0,107.0,0.73
304,313.0,106.0,0.62
305,321.0,109.0,0.74
306,323.0,110.0,0.79
307,325.0,112.0,0.8
308,312.0,108.0,0.69
309,308.0,107.18775510204081,0.7
310,320.0,104.0,0.76
311,328.0,108.0,0.84
312,311.0,107.0,0.78
313,301.0,100.0,0.67
314,305.0,105.0,0.66
315,308.0,104.0,0.65
316,298.0,101.0,0.54
317,300.0,99.0,0.58
318,324.0,111.0,0.79
319,327.0,113.0,0.8
320,317.0,106.0,0.75
321,323.0,104.0,0.73
322,314.0,107.0,0.72
323,305.0,102.0,0.62
324,315.0,104.0,0.67
325,326.0,116.0,0.81
326,299.0,100.0,0.63
327,295.0,101.0,0.69
328,324.0,112.0,0.8
329,297.0,96.0,0.43
330,327.0,113.0,0.8
331,311.0,105.0,0.73
332,308.0,106.0,0.75
333,319.0,108.0,0.71
334,312.0,107.0,0.73
335,325.0,111.0,0.83
336,319.0,110.0,0.72
337,332.0,118.0,0.94
338,316.55876288659795,108.0,0.81
339,324.0,107.0,0.81
340,312.0,107.0,0.75
341,326.0,110.0,0.79
342,308.0,106.0,0.58
343,305.0,103.0,0.59
344,295.0,96.0,0.47
345,316.0,98.0,0.49
346,304.0,97.0,0.47
347,299.0,94.0,0.42
348,302.0,99.0,0.57
349,313.0,101.0,0.62
350,318.0,107.0,0.74
351,325.0,110.0,0.73
352,303.0,100.0,0.64
353,300.0,102.0,0.63
354,297.0,98.0,0.59
355,317.0,107.18775510204081,0.73
356,327.0,109.0,0.79
357,301.0,104.0,0.68
358,314.0,105.0,0.7
359,321.0,107.0,0.81
360,322.0,110.0,0.85
361,334.0,116.0,0.93
362,338.0,115.0,0.91
363,306.0,103.0,0.69
364,313.0,102.0,0.77
365,330.0,114.0,0.86
366,320.0,104.0,0.74
367,311.0,98.0,0.57
368,298.0,92.0,0.51
369,301.0,98.0,0.67
370,310.0,103.0,0.72
371,324.0,110.0,0.89
372,336.0,119.0,0.95
373,321.0,109.0,0.79
374,315.0,105.0,0.39
375,304.0,101.0,0.38
376,297.0,96.0,0.34
377,290.0,100.0,0.47
378,303.0,98.0,0.56
379,311.0,99.0,0.71
380,322.0,104.0,0.78
381,319.0,105.0,0.73
382,324.0,110.0,0.82
383,300.0,100.0,0.62
384,340.0,113.0,0.96
385,335.0,117.0,0.96
386,302.0,101.0,0.46
387,307.0,105.0,0.53
388,296.0,97.0,0.49
389,320.0,108.0,0.76
390,314.0,102.0,0.64
391,318.0,106.0,0.71
392,326.0,112.0,0.84
393,317.0,104.0,0.77
394,329.0,111.0,0.89
395,324.0,110.0,0.82
396,325.0,107.0,0.84
397,330.0,116.0,0.91
398,312.0,103.0,0.67
399,333.0,117.0,0.95
400,304.0,100.0,0.63
401,315.0,105.0,0.66
402,324.0,109.0,0.78
403,330.0,116.0,0.91
404,311.0,101.0,0.62
405,302.0,99.0,0.52
406,322.0,103.0,0.61
407,298.0,100.0,0.58
408,297.0,101.0,0.57
409,300.0,98.0,0.61
410,301.0,96.0,0.54
411,313.0,94.0,0.56
412,314.0,102.0,0.59
413,317.0,101.0,0.49
414,321.0,110.0,0.72
415,327.0,107.18775510204081,0.76
416,315.0,104.0,0.65
417,316.0,103.0,0.52
418,316.55876288659795,111.0,0.6
419,308.0,102.0,0.58
420,299.0,100.0,0.42
421,321.0,112.0,0.77
422,322.0,112.0,0.73
423,334.0,119.0,0.94
424,325.0,114.0,0.91
425,323.0,111.0,0.92
426,312.0,106.0,0.71
427,310.0,101.0,0.71
428,316.0,103.0,0.69
429,340.0,115.0,0.95
430,311.0,104.0,0.74
431,320.0,112.0,0.73
432,324.0,112.0,0.86
433,316.0,111.0,0.71
434,306.0,103.0,0.64
435,309.0,105.0,0.55
436,310.0,110.0,0.58
437,317.0,106.0,0.61
438,318.0,110.0,0.67
439,312.0,105.0,0.66
440,305.0,104.0,0.53
441,332.0,112.0,0.79
442,331.0,116.0,0.92
443,321.0,114.0,0.87
444,324.0,113.0,0.92
445,328.0,116.0,0.91
446,327.0,118.0,0.93
447,320.0,108.0,0.84
448,312.0,109.0,0.8
449,315.0,101.0,0.79
450,320.0,112.0,0.82
451,324.0,113.0,0.89
452,328.0,116.0,0.93
453,319.0,103.0,0.73
454,316.55876288659795,105.0,0.71
455,305.0,102.0,0.59
456,299.0,100.0,0.51
457,295.0,99.0,0.37
458,312.0,100.0,0.69
459,329.0,113.0,0.89
460,319.0,105.0,0.77
461,301.0,102.0,0.68
462,307.0,105.0,0.62
463,304.0,107.0,0.57
464,298.0,97.0,0.45
465,305.0,96.0,0.54
466,314.0,99.0,0.71
467,318.0,101.0,0.78
468,323.0,110.0,0.81
469,326.0,114.0,0.86
470,320.0,110.0,0.87
471,311.0,103.0,0.64
472,327.0,116.0,0.9
473,316.0,102.0,0.67
474,308.0,105.0,0.67
475,300.0,101.0,0.59
476,304.0,104.0,0.62
477,309.0,105.0,0.65
478,318.0,103.0,0.71
479,325.0,110.0,0.79
480,321.0,102.0,0.8
481,323.0,107.0,0.78
482,328.0,113.0,0.83
483,304.0,103.0,0.71
484,317.0,106.0,0.73
485,311.0,107.18775510204081,0.7
486,319.0,102.0,0.68
487,327.0,115.0,0.79
488,322.0,112.0,0.76
489,316.55876288659795,110.0,0.65
490,307.0,105.0,0.67
491,297.0,99.0,0.54
492,298.0,101.0,0.53
493,300.0,95.0,0.62
494,301.0,99.0,0.68
495,332.0,108.0,0.87
496,337.0,117.0,0.96
497,330.0,120.0,0.93
498,312.0,103.0,0.73
499,327.0,113.0,0.84
